,alpha004,alpha042,alpha027,alpha071,alpha061,alpha065,alpha075,alpha037,alpha074,alpha036,alpha033,alpha040,alpha007,alpha014,alpha054,alpha062,alpha006,alpha028,alpha030,alpha060,alpha056,alpha047,alpha025,alpha043,alpha032,alpha020,alpha018,alpha009,alpha023,momentum_12_1
alpha004,1.0,0.010427287965273094,-0.036061021099237235,0.18398308078142933,0.09357113295323859,0.10515969200931174,0.14946121235257806,,-0.022710927426621796,,,0.06833159962944814,0.04041861162159435,0.08077386197736808,0.04605577945763674,-0.017909080892088088,0.10908194719729221,-0.039040185938397746,0.13653226798154394,-0.05571729288227454,0.0808411126218491,0.3182831102643201,0.09750249638920155,0.11159200305744191,0.12344068475633636,0.12046330391136698,-0.023622138054050352,0.06311341981285276,0.14514270521945588,-0.0017561987252722713
alpha042,0.010427287965273094,1.0,0.002024581729841085,-0.05608528910677517,0.01272417244824172,0.015710758392378017,0.002441637433456617,,-0.015538811108683326,,,0.02784604271384501,0.003112088564965022,0.009016983054225413,0.002242219101620123,0.0028521648986552595,0.004354055945957301,0.0014849203537088992,0.007964336247606783,0.002896265807868726,0.0032934848050583175,0.02523928911952851,0.005063171256357453,0.00853794513286425,-0.0040853976593615525,0.002803238664343339,-0.013615065447988753,0.0036895950309762298,0.0036058463326704908,0.014104471887102711
alpha027,-0.036061021099237235,0.002024581729841085,1.0,0.13488575599757852,-0.007228700482705376,0.09278496257339633,-0.057102167093892535,,0.30058680729328346,,,0.1805944955835588,-0.0322342376079919,0.11447345907275255,0.00024635873457752274,0.07183460291117384,0.16442721680077285,-0.04481377327648734,0.02571663590569411,-0.03900278048129753,0.007881186620477307,0.038614983872552806,0.011986210355805861,0.03983501269764714,0.03965695546944656,0.03613562451332245,0.032796404410813114,-0.0007320596582801552,0.06529693808568558,0.016038891626318802
alpha071,0.18398308078142933,-0.05608528910677517,0.13488575599757852,1.0,0.11881210532735377,0.1482401981629966,-0.000965660831827805,,0.07025245957117997,,,0.17185756662154236,0.02240895154242778,0.09824813026441342,0.027140743950339396,0.013301706854512617,0.1429558961987507,-0.0254489606894194,0.07111735808285492,-0.07529286321399734,0.01949304429080718,0.17485502689298466,0.0450880791814793,0.01881853425905649,0.0541652042625584,0.07408512167605061,0.001964721331372699,0.025385370420314107,0.08606754723394947,-0.02519436774103815
alpha061,0.09357113295323859,0.01272417244824172,-0.007228700482705376,0.11881210532735377,1.0,0.16918769091060437,0.12803978337096425,,-0.021325624139224075,,,0.18185303878861667,0.08103764784831868,0.03346388131845328,0.04849602308343076,-0.018015369836719086,0.037901487911581815,0.031137296459379984,0.11739183937417713,-0.010914482414817732,0.030492282609707034,0.19949521178506033,0.09532308123788318,0.0855087189886642,0.05530016130740968,0.0968326488356185,-0.058465425922337756,0.07511943665164487,0.08136320841275604,-0.15259606331878742
alpha065,0.10515969200931174,0.015710758392378017,0.09278496257339633,0.1482401981629966,0.16918769091060437,1.0,-0.03528026667911408,,0.18485495958877782,,,0.19403208372723263,-0.07372501146603803,0.08215979829669103,0.11275386357912735,0.19939146891531112,0.07597280441789364,0.1062935161301976,0.10786648817244755,0.00015978856992925842,0.03165390260817708,0.22859195419509362,0.13925420476049222,0.07604212194069776,0.06881034151629718,0.1435982962955952,-0.027391774096289002,0.1357174527224862,0.09061361028055201,-0.12858094451356095
alpha075,0.14946121235257806,0.002441637433456617,-0.057102167093892535,-0.000965660831827805,0.12803978337096425,-0.03528026667911408,1.0,,-0.0653328486435379,,,0.09620965956987874,0.0834082263445015,0.15983257586033064,0.05065002104295401,-0.062265554072448624,0.15134013471454774,0.014651571458368465,0.05769580671381227,0.02000731195210553,0.048926831719246326,0.10237133970100366,0.073486343354651,0.06894316615974165,0.042562984061514965,0.07668202915822626,-0.02964113598502396,0.06686918782694254,0.05292174461562082,0.018317868522770477
alpha037,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
alpha074,-0.022710927426621796,-0.015538811108683326,0.30058680729328346,0.07025245957117997,-0.021325624139224075,0.18485495958877782,-0.0653328486435379,,1.0,,,0.15618198871335662,-0.04747435634677388,0.14171981650927645,0.0022118281692733556,0.21440799447584363,0.16932245408271812,-0.025233475015638437,0.028486117100005114,-0.015411157775583332,0.021634778533200963,0.016325697664440957,0.01821578251124076,0.03155445628329681,0.02451865141405328,0.03770501425419992,0.03957464755376245,0.011872217817830296,0.04605168414425693,0.011749511865720232
alpha036,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
